#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 172039      5.89913      Lin-Lin
 172958      6.55622      Lin-Lin
 173615      7.04166      Lin-Lin
 175191      8.26476      Lin-Lin
 177992      10.4892      Lin-Lin
 179393      11.537       Lin-Lin
 180443      12.2539      Lin-Lin
 181494      12.9042      Lin-Lin
 182615      13.4976      Lin-Lin
 183595      13.9265      Lin-Lin
 184296      14.1796      Lin-Lin
 184996      14.3878      Lin-Lin
 186047      14.6131      Lin-Lin
 187097      14.7542      Lin-Lin
 188148      14.8048      Lin-Lin
 189373      14.7631      Lin-Lin
 190599      14.6459      Lin-Lin
 191912      14.4351      Lin-Lin
 193751      14.0502      Lin-Lin
 196552      13.3323      Lin-Lin
 202506      11.7071      Lin-Lin
 205657      10.9185      Lin-Lin
 208459      10.2823      Lin-Lin
 211261      9.70982      Lin-Lin
 214062      9.19757      Lin-Lin
 216864      8.74011      Lin-Lin
 219665      8.33143      Lin-Lin
 223167      7.87924      Lin-Lin
 226669      7.48605      Lin-Lin
 230171      7.13897      Lin-Lin
 234373      6.77647      Lin-Lin
 238576      6.46186      Lin-Lin
 243478      6.1447       Lin-Lin
 248381      5.87015      Lin-Lin
 253809      5.6081       Lin-Lin
 258887      5.39487      Lin-Lin
 264840      5.17522      Lin-Lin
 271406      4.9664       Lin-Lin
 278848      4.76344      Lin-Lin
 287603      4.55838      Lin-Lin
 297833      4.35721      Lin-Lin
 298671      4.34332      Lin-Lin
 298726      4.35085      Lin-Lin
 298740      4.37633      Lin-Lin
 298746      4.40737      Lin-Lin
 298753      4.45945      Lin-Lin
 298759      4.52505      Lin-Lin
 298765      4.61219      Lin-Lin
 298772      4.73922      Lin-Lin
 298785      5.01528      Lin-Lin
 298792      5.10866      Lin-Lin
 298797      5.1548       Lin-Lin
 298800      5.16329      Lin-Lin
 298806      5.14384      Lin-Lin
 298810      5.09191      Lin-Lin
 298817      4.97617      Lin-Lin
 298833      4.66883      Lin-Lin
 298839      4.55363      Lin-Lin
 298847      4.46361      Lin-Lin
 298852      4.42073      Lin-Lin
 298861      4.37381      Lin-Lin
 298870      4.35275      Lin-Lin
 298889      4.34126      Lin-Lin
 307474      4.19628      Lin-Lin
